month,disease,cases
2023-01,Dengue,97
2023-02,Dengue,49
2023-03,Dengue,26
2023-04,Dengue,21
2023-05,Dengue,50
2023-06,Dengue,114
2023-07,Dengue,97
2023-08,Dengue,239
2023-09,Dengue,131
2023-10,Dengue,96
2023-11,Dengue,27
2023-12,Dengue,58
2024-01,Dengue,78
2024-02,Dengue,38
2024-03,Dengue,32
2024-04,Dengue,19
2024-05,Dengue,85
2024-06,Dengue,48
2024-07,Dengue,224
2024-08,Dengue,108
2024-09,Dengue,83
2024-10,Dengue,81
2024-11,Dengue,106
2024-12,Dengue,63
2025-01,Dengue,44
2025-02,Dengue,56
2025-03,Dengue,83
2025-04,Dengue,75
2025-05,Dengue,55
2025-06,Dengue,156
2025-07,Dengue,144
2025-08,Dengue,103
2025-09,Dengue,176
2025-10,Dengue,43
2023-01,Malaria,97
2023-02,Malaria,87
2023-03,Malaria,50
2023-04,Malaria,51
2023-05,Malaria,82
2023-06,Malaria,40
2023-07,Malaria,113
2023-08,Malaria,264
2023-09,Malaria,144
2023-10,Malaria,65
2023-11,Malaria,39
2023-12,Malaria,86
2024-01,Malaria,85
2024-02,Malaria,48
2024-03,Malaria,38
2024-04,Malaria,65
2024-05,Malaria,82
2024-06,Malaria,251
2024-07,Malaria,130
2024-08,Malaria,135
2024-09,Malaria,89
2024-10,Malaria,56
2024-11,Malaria,57
2024-12,Malaria,98
2025-01,Malaria,37
2025-02,Malaria,64
2025-03,Malaria,80
2025-04,Malaria,103
2025-05,Malaria,104
2025-06,Malaria,112
2025-07,Malaria,182
2025-08,Malaria,111
2025-09,Malaria,75
2025-10,Malaria,60
2023-01,Typhoid,89
2023-02,Typhoid,52
2023-03,Typhoid,65
2023-04,Typhoid,92
2023-05,Typhoid,69
2023-06,Typhoid,25
2023-07,Typhoid,98
2023-08,Typhoid,59
2023-09,Typhoid,23
2023-10,Typhoid,67
2023-11,Typhoid,33
2023-12,Typhoid,84
2024-01,Typhoid,93
2024-02,Typhoid,92
2024-03,Typhoid,87
2024-04,Typhoid,77
2024-05,Typhoid,65
2024-06,Typhoid,111
2024-07,Typhoid,91
2024-08,Typhoid,86
2024-09,Typhoid,85
2024-10,Typhoid,75
2024-11,Typhoid,40
2024-12,Typhoid,75
2025-01,Typhoid,79
2025-02,Typhoid,68
2025-03,Typhoid,38
2025-04,Typhoid,48
2025-05,Typhoid,78
2025-06,Typhoid,81
2025-07,Typhoid,98
2025-08,Typhoid,57
2025-09,Typhoid,55
2025-10,Typhoid,79
2023-01,Influenza,68
2023-02,Influenza,91
2023-03,Influenza,67
2023-04,Influenza,87
2023-05,Influenza,46
2023-06,Influenza,62
2023-07,Influenza,46
2023-08,Influenza,51
2023-09,Influenza,75
2023-10,Influenza,27
2023-11,Influenza,48
2023-12,Influenza,46
2024-01,Influenza,131
2024-02,Influenza,106
2024-03,Influenza,69
2024-04,Influenza,50
2024-05,Influenza,82
2024-06,Influenza,25
2024-07,Influenza,84
2024-08,Influenza,78
2024-09,Influenza,71
2024-10,Influenza,24
2024-11,Influenza,57
2024-12,Influenza,134
2025-01,Influenza,133
2025-02,Influenza,200
2025-03,Influenza,39
2025-04,Influenza,90
2025-05,Influenza,52
2025-06,Influenza,41
2025-07,Influenza,72
2025-08,Influenza,74
2025-09,Influenza,32
2025-10,Influenza,81
2023-01,Chikungunya,48
2023-02,Chikungunya,79
2023-03,Chikungunya,32
2023-04,Chikungunya,76
2023-05,Chikungunya,36
2023-06,Chikungunya,117
2023-07,Chikungunya,77
2023-08,Chikungunya,31
2023-09,Chikungunya,58
2023-10,Chikungunya,82
2023-11,Chikungunya,92
2023-12,Chikungunya,23
2024-01,Chikungunya,1
2024-02,Chikungunya,85
2024-03,Chikungunya,15
2024-04,Chikungunya,77
2024-05,Chikungunya,56
2024-06,Chikungunya,48
2024-07,Chikungunya,49
2024-08,Chikungunya,53
2024-09,Chikungunya,73
2024-10,Chikungunya,55
2024-11,Chikungunya,73
2024-12,Chikungunya,54
2025-01,Chikungunya,55
2025-02,Chikungunya,64
2025-03,Chikungunya,58
2025-04,Chikungunya,67
2025-05,Chikungunya,47
2025-06,Chikungunya,36
2025-07,Chikungunya,65
2025-08,Chikungunya,18
2025-09,Chikungunya,72
2025-10,Chikungunya,27
2023-01,Pneumonia,90
2023-02,Pneumonia,72
2023-03,Pneumonia,11
2023-04,Pneumonia,5
2023-05,Pneumonia,47
2023-06,Pneumonia,62
2023-07,Pneumonia,29
2023-08,Pneumonia,79
2023-09,Pneumonia,25
2023-10,Pneumonia,46
2023-11,Pneumonia,58
2023-12,Pneumonia,164
2024-01,Pneumonia,215
2024-02,Pneumonia,189
2024-03,Pneumonia,68
2024-04,Pneumonia,51
2024-05,Pneumonia,89
2024-06,Pneumonia,95
2024-07,Pneumonia,47
2024-08,Pneumonia,38
2024-09,Pneumonia,70
2024-10,Pneumonia,36
2024-11,Pneumonia,83
2024-12,Pneumonia,55
2025-01,Pneumonia,212
2025-02,Pneumonia,135
2025-03,Pneumonia,44
2025-04,Pneumonia,10
2025-05,Pneumonia,77
2025-06,Pneumonia,84
2025-07,Pneumonia,45
2025-08,Pneumonia,29
2025-09,Pneumonia,43
2025-10,Pneumonia,106
