month,medicine,demand
2023-01,Paracetamol 500mg Tablets,203
2023-02,Paracetamol 500mg Tablets,227
2023-03,Paracetamol 500mg Tablets,167
2023-04,Paracetamol 500mg Tablets,176
2023-05,Paracetamol 500mg Tablets,158
2023-06,Paracetamol 500mg Tablets,182
2023-07,Paracetamol 500mg Tablets,197
2023-08,Paracetamol 500mg Tablets,188
2023-09,Paracetamol 500mg Tablets,156
2023-10,Paracetamol 500mg Tablets,166
2023-11,Paracetamol 500mg Tablets,156
2023-12,Paracetamol 500mg Tablets,224
2024-01,Paracetamol 500mg Tablets,221
2024-02,Paracetamol 500mg Tablets,202
2024-03,Paracetamol 500mg Tablets,143
2024-04,Paracetamol 500mg Tablets,155
2024-05,Paracetamol 500mg Tablets,150
2024-06,Paracetamol 500mg Tablets,181
2024-07,Paracetamol 500mg Tablets,171
2024-08,Paracetamol 500mg Tablets,170
2024-09,Paracetamol 500mg Tablets,175
2024-10,Paracetamol 500mg Tablets,158
2024-11,Paracetamol 500mg Tablets,161
2024-12,Paracetamol 500mg Tablets,208
2025-01,Paracetamol 500mg Tablets,214
2025-02,Paracetamol 500mg Tablets,228
2025-03,Paracetamol 500mg Tablets,149
2025-04,Paracetamol 500mg Tablets,164
2025-05,Paracetamol 500mg Tablets,154
2025-06,Paracetamol 500mg Tablets,196
2025-07,Paracetamol 500mg Tablets,184
2025-08,Paracetamol 500mg Tablets,210
2025-09,Paracetamol 500mg Tablets,160
2025-10,Paracetamol 500mg Tablets,150
2023-01,Amoxicillin 250mg Capsules,174
2023-02,Amoxicillin 250mg Capsules,126
2023-03,Amoxicillin 250mg Capsules,117
2023-04,Amoxicillin 250mg Capsules,95
2023-05,Amoxicillin 250mg Capsules,101
2023-06,Amoxicillin 250mg Capsules,147
2023-07,Amoxicillin 250mg Capsules,149
2023-08,Amoxicillin 250mg Capsules,136
2023-09,Amoxicillin 250mg Capsules,113
2023-10,Amoxicillin 250mg Capsules,111
2023-11,Amoxicillin 250mg Capsules,100
2023-12,Amoxicillin 250mg Capsules,136
2024-01,Amoxicillin 250mg Capsules,166
2024-02,Amoxicillin 250mg Capsules,160
2024-03,Amoxicillin 250mg Capsules,118
2024-04,Amoxicillin 250mg Capsules,97
2024-05,Amoxicillin 250mg Capsules,118
2024-06,Amoxicillin 250mg Capsules,124
2024-07,Amoxicillin 250mg Capsules,121
2024-08,Amoxicillin 250mg Capsules,152
2024-09,Amoxicillin 250mg Capsules,125
2024-10,Amoxicillin 250mg Capsules,124
2024-11,Amoxicillin 250mg Capsules,106
2024-12,Amoxicillin 250mg Capsules,155
2025-01,Amoxicillin 250mg Capsules,169
2025-02,Amoxicillin 250mg Capsules,172
2025-03,Amoxicillin 250mg Capsules,110
2025-04,Amoxicillin 250mg Capsules,113
2025-05,Amoxicillin 250mg Capsules,103
2025-06,Amoxicillin 250mg Capsules,126
2025-07,Amoxicillin 250mg Capsules,157
2025-08,Amoxicillin 250mg Capsules,148
2025-09,Amoxicillin 250mg Capsules,114
2025-10,Amoxicillin 250mg Capsules,125
2023-01,Ibuprofen 400mg Tablets,196
2023-02,Ibuprofen 400mg Tablets,201
2023-03,Ibuprofen 400mg Tablets,153
2023-04,Ibuprofen 400mg Tablets,165
2023-05,Ibuprofen 400mg Tablets,149
2023-06,Ibuprofen 400mg Tablets,207
2023-07,Ibuprofen 400mg Tablets,149
2023-08,Ibuprofen 400mg Tablets,178
2023-09,Ibuprofen 400mg Tablets,150
2023-10,Ibuprofen 400mg Tablets,147
2023-11,Ibuprofen 400mg Tablets,150
